GENUS,SPECIES,FAMILY,SP,SG100C_AVG,SG100C_SEM,SG100C_N
Acalypha,diversifolia,Euphorbiacea,ACALDI,0.50129168,0.0291644,4
Acalypha,macrostachya,Euphorbiacea,ACALMA,0.404127546,0.021682004,5
Adelia,triloba,Euphorbiacea,ADE1TR,0.647727905,0.010445126,4
Aegiphila,panamensis,Verbenaceae,AEGIPA,0.4558328,0.049893826,5
Alchornea,costaricensi,Euphorbiacea,ALCHCO,0.393048399,0.02139884,5
Alibertia,edulis,Rubiaceae,ALIBED,0.788040125,0.037839293,6
Allophylus,psilospermus,Sapindaceae,ALLOPS,0.534386981,0.013578374,5
Alseis,blackiana,Rubiaceae,ALSEBL,0.577973969,0.025006805,4
Amaioua,corymbosa,Rubiaceae,AMAICO,0.67762665,0.011999969,9
Anacardium,excelsum,Anacardiacea,ANACEX,0.420666804,0.011226444,6
Andira,inermis,Fabaceae:Pap,ANDIIN,0.683158317,0.022888994,6
Annona,acuminata,Annonaceae,ANNOAC,0.645087275,0.028361245,5
Annona,spraguei,Annonaceae,ANNOSP,0.425789773,0.041508884,9
Apeiba,membranacea,Tiliaceae,APEIME,0.321387556,0.052806831,5
Apeiba,tibourbou,Tiliaceae,APEITI,0.342506375,0.084124683,5
Aspidosperma,spruceanum,Apocynaceae,ASPICR,0.770147174,0.004938996,5
Astronium,graveolens,Anacardiacea,AST2GR,0.80817686,0.013191562,6
Beilschmiedi,pendula,Lauraceae,BEILPE,0.527503989,0.009927199,5
Brosimum,alicastrum,Moraceae,BROSAL,0.671531363,0.016081779,5
Calophyllum,longifolium,Clusiaceae,CALOLO,0.54056402,0.04456441,5
Capparis,frondosa,Capparaceae,CAPPFR,0.632941284,0.019467571,4
Casearia,aculeata,Flacourtiace,CASEAC,0.689971211,0.012626576,5
Casearia,arborea,Flacourtiace,CASEAR,0.562365523,0.012060968,9
Casearia,commersonian,Flacourtiace,CASECO,0.617290009,0.011788249,5
Casearia,guianensis,Flacourtiace,CASEGU,0.692559465,0.013450524,7
Casearia,sylvestris,Flacourtiace,CASESY,0.661614721,0.017760636,5
Cassipourea,elliptica,Rhizophorace,CASSEL,0.659964232,0.015614188,7
Cavanillesia,platanifolia,Bombacaceae,CAVAPL,0.197714953,0.017144603,5
Cecropia,insignis,Cecropiaceae,CECRIN,0.550778659,0.032834373,2
Cecropia,obtusifolia,Cecropiaceae,CECROB,0.304733394,0.014834046,6
Ceiba,pentandra,Bombacaceae,CEIBPE,0.304500544,0.025235479,10
Celtis,schippii,Ulmaceae,CELTSC,0.57882696,0.011904612,9
Cestrum,megalophyllu,Solanaceae,CESTME,0.424325287,0.022180754,5
Chrysochlamy,eclipes,Clusiaceae,CHR1EC,0.506946157,0.048104674,3
Chrysophyllu,argenteum,Sapotaceae,CHR2AR,0.736321431,0.015739246,5
Chrysophyllu,cainito,Sapotaceae,CHR2CA,0.776838438,0.030306182,4
Coccoloba,coronata,Polygonaceae,COCCCO,0.788537241,0.020945096,5
Coccoloba,manzinellens,Polygonaceae,COCCMA,0.716341182,0.037069842,5
Conostegia,cinnamomea,Melastomatac,CONOCI,0.606171815,0.002908342,2
Cordia,alliodora,Boraginaceae,CORDAL,0.455437259,0.017274432,5
Cordia,bicolor,Boraginaceae,CORDBI,0.373401035,0.02195024,5
Coussarea,curvigemmia,Rubiaceae,COU2CU,0.622066058,0.016189368,5
Croton,billbergianu,Euphorbiacea,CROTBI,0.478425261,0.025724051,5
Cupania,latifolia,Sapindaceae,CUPALA,0.55386457,0.012500192,7
Cupania,rufescens,Sapindaceae,CUPARU,0.60424764,0.019934691,7
Cupania,seemannii,Sapindaceae,CUPASY,0.66539857,0.034770539,4
Dendropanax,arboreus,Araliaceae,DENDAR,0.411094288,0.01235645,5
Desmopsis,panamensis,Annonaceae,DES2PA,0.536031328,0.02563082,5
Diospyros,artanthifoli,Ebenaceae,DIO2AR,0.640629878,0.01814815,9
Dipteryx,oleifera,Fabaceae:Pap,DIPTPA,0.877632683,0.070108878,4
Drypetes,standleyi,Euphorbiacea,DRYPST,0.617793046,0.050645583,2
Enterolobium,schomburgkii,Fabaceae:Mim,ENTESC,0.635958549,0.020771069,10
Erythrina,costaricensi,Fabaceae:Pap,ERY1CO,0.500062845,0.012575396,5
Erythroxylum,macrophyllum,Erythroxylac,ERY2MA,0.643069929,0.033847571,5
Erythroxylum,panamense,Erythroxylac,ERY2PA,0.703274947,0.054992185,5
Eugenia,coloradoensi,Myrtaceae,EUGECO,0.693421672,0.014853328,5
Eugenia,galalonensis,Myrtaceae,EUGEGA,0.6362659,0.018636889,6
Eugenia,nesiotica,Myrtaceae,EUGENE,0.731548716,0.010613507,6
Eugenia,oerstediana,Myrtaceae,EUGEOE,0.655528713,0.020427014,7
Faramea,occidentalis,Rubiaceae,FARAOC,0.609443794,0.020948549,4
Ficus,insipida,Moraceae,FICUIN,0.33596969,0.01719801,5
Ficus,tonduzii,Moraceae,FICUTO,0.357471104,0.03214604,5
Garcinia,intermedia,Clusiaceae,GAR2IN,0.653861658,0.026793169,5
Garcinia,madruno,Clusiaceae,GAR2MA,0.649363441,0.013295796,4
Genipa,americana,Rubiaceae,GENIAM,0.68095339,0.008253548,5
Guapira,standleyana,Nyctaginacea,GUAPST,0.51103538,0.020333778,6
Guarea,grandifolia,Meliaceae,GUARGR,0.579283823,0.012750974,5
Guarea,guidonia,Meliaceae,GUARGU,0.560028931,0.011263887,5
Guarea,bullata,Meliaceae,GUARSP,0.667748457,0.015449806,5
Guatteria,dumetorum,Annonaceae,GUATDU,0.446201315,0.019337937,7
Guazuma,ulmifolia,Sterculiacea,GUAZUL,0.494623918,0.039510182,6
Guettarda,foliacea,Rubiaceae,GUETFO,0.61838453,0.016247129,8
Gustavia,superba,Lecythidacea,GUSTSU,0.612491625,0.012126447,4
Hamelia,axillaris,Rubiaceae,HAMEAX,0.457071168,NA,1
Hampea,appendiculat,Malvaceae,HAMPAP,0.287770868,0.034840725,5
Hasseltia,floribunda,Flacourtiace,HASSFL,0.565203238,0.017026596,6
Heisteria,acuminata,Olacaceae,HEISAC,0.682125856,0.018630806,6
Heisteria,concinna,Olacaceae,HEISCO,0.718525656,0.009929992,6
Herrania,purpurea,Sterculiacea,HERRPU,0.307970769,0.019023411,5
Hirtella,americana,Chrysobalana,HIRTAM,0.755267136,0.018979621,6
